Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,RNA enrichment in P-body (log2) (Fold change=sorted P-bodies/pre-sorted fraction),NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
RMND5A,6804,4.76965680427337,133.9018458972668,354.60870804273947,2.24060982007867,1.4049850604541991,0.0356205455743513,0,1,strongly selective,435
RSBN1,6819,6.739732440821068,110.91438380066388,294.84410508711306,2.24133008846664,1.410424741305222,0.0607651795003771,0,1,strongly selective,2
SASH1,8598,5.5991623354513465,74.8630132199048,200.27937507232437,2.24261002871771,1.419568170126959,0.0747921048676494,0,0,not flagged,0
SLC4A4,8361,0.9331937225752248,15.109835160003325,40.79316665598469,2.24405089070551,1.4322387103094274,0.0617606818799351,0,0,not flagged,0
GORAB,3773,3.00695755052017,88.64614876928708,237.43585223682155,2.24473289046019,1.421305956880147,0.0339209045431422,0,0,not flagged,0
DTL,4892,54.53998867495197,547.9559441911537,1473.9671840111807,2.2458258795374,1.4275560545288617,0.0995335286588765,1,0,common essential,1186
FBXO34,4133,14.62003498701189,207.53619012619757,561.9684716781279,2.25321880140035,1.4370824156228132,0.0704457134831366,0,0,not flagged,1
KIF4A,4723,8.91718446016325,105.17168596955088,284.7504657672889,2.25674678627944,1.436865338861623,0.0847869307975621,0,0,not flagged,760
CNOT6L,9367,0.933193722575224,63.07768001968177,170.21434843123768,2.2567470931171,1.432007207638215,0.0147943570892912,0,0,not flagged,27
KDM6A,6805,17.10855158054581,235.0362895673419,639.612080600585,2.26035689663161,1.444274837042713,0.0727911064799375,0,1,strongly selective,10
PHF10,5388,10.9909482881082,140.00098404303304,382.9156064821602,2.26054866336452,1.451524124456735,0.0785062216757693,0,0,not flagged,24
TRERF1,7732,0.622129148383483,12.846330172945036,35.33969370975387,2.26093793100017,1.4592188292201798,0.0484285504115187,0,1,strongly selective,15
PTPDC1,6301,3.421710316109162,51.00407541590605,138.15757292340024,2.26675840348277,1.437451799260379,0.0670869982095994,0,0,not flagged,1
HSDL2,3455,26.1294242321063,405.38680076731447,1100.6867551992943,2.26767029438621,1.4410104486529656,0.0644555377300115,0,0,not flagged,4
ARHGAP35,11245,1.036881913972471,108.52014798208272,293.4826637164819,2.2677461985519,1.4352285849690587,0.0095547410619423,0,0,not flagged,0
ZNF432,5985,2.0737638279449433,58.31406510060408,153.53086706885293,2.26884384405523,1.3964595183737851,0.0355619836203712,0,0,not flagged,1
NMD3,4869,25.81835965791451,294.78722963083675,791.029663165176,2.26962802101007,1.4240270673266766,0.0875830329904282,0,0,not flagged,1179
P2RY1,3106,3.5253985075064014,82.89508008520427,221.90292728780923,2.27140663464797,1.420461300547976,0.042528440817993,0,0,not flagged,0
